iteration,loss,ce_loss,accuracy,two_qubit_count,mask_sparsity,active_entanglers
0,3.802345222779577,2.002345222779577,0.375,6,1.0,3
1,3.80132195808344,2.00132195808344,0.375,6,1.0,3
2,3.800264873119981,2.0002648731199812,0.375,6,1.0,3
3,3.79917289723334,1.9991728972333402,0.375,6,1.0,3
4,3.798044932422208,1.9980449324222083,0.375,6,1.0,3
5,3.79687985313506,1.99687985313506,0.375,6,1.0,3
6,3.795676506099993,1.995676506099993,0.375,6,1.0,3
7,3.7944337101953254,1.9944337101953256,0.375,6,1.0,3
8,3.7931502563612502,1.9931502563612502,0.375,6,1.0,3
9,3.7918249075556067,1.9918249075556067,0.375,6,1.0,3
10,3.790456398760857,1.990456398760857,0.375,6,1.0,3
11,3.789043437036729,1.9890434370367291,0.375,6,1.0,3
12,3.787584701633319,1.987584701633319,0.375,6,1.0,3
13,3.7860788441564925,1.9860788441564927,0.375,6,1.0,3
14,3.78452448879817,1.9845244887981703,0.375,6,1.0,3
15,3.78292023262766,1.9829202326276603,0.375,6,1.0,3
16,3.7812646459529136,1.981264645952914,0.375,6,1.0,3
17,3.7795562727496934,1.9795562727496934,0.375,6,1.0,3
18,3.7777936311664897,1.9777936311664899,0.375,6,1.0,3
19,3.7759752141060803,1.9759752141060805,0.375,6,1.0,3
20,3.183301237911376,1.9833012379113764,0.375,4,0.6666666666666666,2
21,3.1820801899734583,1.9820801899734584,0.375,4,0.6666666666666666,2
22,3.180831460335146,1.980831460335146,0.375,4,0.6666666666666666,2
23,3.1795545270831314,1.9795545270831316,0.375,4,0.6666666666666666,2
24,3.178248863345969,1.9782488633459692,0.375,4,0.6666666666666666,2
25,3.17691393745143,1.97691393745143,0.375,4,0.6666666666666666,2
26,3.1755492130911973,1.9755492130911974,0.375,4,0.6666666666666666,2
27,3.1741541494966325,1.9741541494966326,0.375,4,0.6666666666666666,2
28,3.1727282016206306,1.972728201620631,0.375,4,0.6666666666666666,2
29,3.1712708203316184,1.9712708203316183,0.375,4,0.6666666666666666,2
