difficulty,seed,n2q,acc_exact,acc_noisy
hard,0,2,0.6666666666666666,0.7
hard,0,6,0.9,0.9111111111111111
hard,0,12,0.8888888888888888,0.7888888888888889
hard,0,18,0.9,0.9
hard,0,24,0.8222222222222222,0.8555555555555555
hard,1,2,0.9222222222222223,0.9222222222222223
hard,1,6,0.8888888888888888,0.8666666666666667
hard,1,12,0.7777777777777778,0.7666666666666667
hard,1,18,0.7777777777777778,0.7222222222222222
hard,1,24,0.8222222222222222,0.8555555555555555
hard,2,2,0.9,0.8222222222222222
hard,2,6,0.9555555555555556,0.9333333333333333
hard,2,12,0.8555555555555555,0.7777777777777778
hard,2,18,0.9444444444444444,0.9111111111111111
hard,2,24,0.9444444444444444,0.9333333333333333
hard,3,2,0.9666666666666667,0.9333333333333333
hard,3,6,0.9666666666666667,0.9666666666666667
hard,3,12,0.9555555555555556,0.9111111111111111
hard,3,18,0.9666666666666667,0.9555555555555556
hard,3,24,0.9666666666666667,0.9444444444444444
hard,4,2,0.8888888888888888,0.8666666666666667
hard,4,6,0.7777777777777778,0.8222222222222222
hard,4,12,0.8888888888888888,0.8777777777777778
hard,4,18,0.9222222222222223,0.9111111111111111
hard,4,24,0.9222222222222223,0.9
